date,match_number,teams,group,stadium,date_dt,Team A,Team B
"Thursday, 11 June 2026",Match 1,Mexico v South Africa,Group A,Mexico City Stadium,2026-06-11,Mexico,South Africa
"Thursday, 11 June 2026",Match 2,Korea Republic v Czechia,Group A,Estadio Guadalajara,2026-06-11,Korea Republic,Czechia
"Friday, 12 June 2026",Match 3,Canada v Bosnia and Herzegovina,Group B,Toronto Stadium,2026-06-12,Canada,Bosnia and Herzegovina
"Friday, 12 June 2026",Match 4,USA v Paraguay,Group D,Los Angeles Stadium,2026-06-12,USA,Paraguay
"Saturday, 13 June 2026",Match 5,Haiti v Scotland,Group C,Boston Stadium,2026-06-13,Haiti,Scotland
"Saturday, 13 June 2026",Match 6,Australia v Türkiye,Group D,BC Place Vancouver,2026-06-13,Australia,Türkiye
"Saturday, 13 June 2026",Match 7,Brazil v Morocco,Group C,New York New Jersey Stadium,2026-06-13,Brazil,Morocco
"Saturday, 13 June 2026",Match 8,Qatar v Switzerland,Group B,San Francisco Bay Area Stadium,2026-06-13,Qatar,Switzerland
"Sunday, 14 June 2026",Match 9,Côte d'Ivoire v Ecuador,Group E,Philadelphia Stadium,2026-06-14,Côte d'Ivoire,Ecuador
"Sunday, 14 June 2026",Match 10,Germany v Curaçao,Group E,Houston Stadium,2026-06-14,Germany,Curaçao
"Sunday, 14 June 2026",Match 11,Netherlands v Japan,Group F,Dallas Stadium,2026-06-14,Netherlands,Japan
"Sunday, 14 June 2026",Match 12,Albania/Poland/Sweden/Ukraine v Tunisia,Group F,Estadio Monterrey,2026-06-14,Albania/Poland/Sweden/Ukraine,Tunisia
"Monday, 15 June 2026",Match 13,Saudi Arabia v Uruguay,Group H,Miami Stadium,2026-06-15,Saudi Arabia,Uruguay
"Monday, 15 June 2026",Match 14,Spain v Cabo Verde,Group H,Atlanta Stadium,2026-06-15,Spain,Cabo Verde
"Monday, 15 June 2026",Match 15,IR Iran v New Zealand,Group G,Los Angeles Stadium,2026-06-15,IR Iran,New Zealand
"Monday, 15 June 2026",Match 16,Belgium v Egypt,Group G,Seattle Stadium,2026-06-15,Belgium,Egypt
"Tuesday, 16 June 2026",Match 17,France v Senegal,Group I,New York New Jersey Stadium,2026-06-16,France,Senegal
"Tuesday, 16 June 2026",Match 18,Bolivia/Iraq/Suriname v Norway,Group I,Boston Stadium,2026-06-16,Bolivia/Iraq/Suriname,Norway
"Tuesday, 16 June 2026",Match 19,Argentina v Algeria,Group J,Kansas City Stadium,2026-06-16,Argentina,Algeria
"Tuesday, 16 June 2026",Match 20,Austria v Jordan,Group J,San Francisco Bay Area Stadium,2026-06-16,Austria,Jordan
"Wednesday, 17 June 2026",Match 21,Ghana v Panama,Group L,Toronto Stadium,2026-06-17,Ghana,Panama
"Wednesday, 17 June 2026",Match 22,England v Croatia,Group L,Dallas Stadium,2026-06-17,England,Croatia
"Wednesday, 17 June 2026",Match 23,Portugal v Congo DR/Jamaica/New Caledonia,Group K,Houston Stadium,2026-06-17,Portugal,Congo DR/Jamaica/New Caledonia
"Wednesday, 17 June 2026",Match 24,Uzbekistan v Colombia,Group K,Mexico City Stadium,2026-06-17,Uzbekistan,Colombia
"Thursday, 18 June 2026",Match 25,Czechia v South Africa,Group A,Atlanta Stadium,2026-06-18,Czechia,South Africa
"Thursday, 18 June 2026",Match 26,Switzerland v Bosnia and Herzegovina,Group B,Los Angeles Stadium,2026-06-18,Switzerland,Bosnia and Herzegovina
"Thursday, 18 June 2026",Match 27,Canada v Qatar,Group B,BC Place Vancouver,2026-06-18,Canada,Qatar
"Thursday, 18 June 2026",Match 28,Mexico v Korea Republic,Group A,Estadio Guadalajara,2026-06-18,Mexico,Korea Republic
"Friday, 19 June 2026",Match 29,Brazil v Haiti,Group C,Philadelphia Stadium,2026-06-19,Brazil,Haiti
"Friday, 19 June 2026",Match 30,Scotland v Morocco,Group C,Boston Stadium,2026-06-19,Scotland,Morocco
"Friday, 19 June 2026",Match 31,Türkiye v Paraguay,Group D,San Francisco Bay Area Stadium,2026-06-19,Türkiye,Paraguay
"Friday, 19 June 2026",Match 32,USA v Australia,Group D,Seattle Stadium,2026-06-19,USA,Australia
"Saturday, 20 June 2026",Match 33,Germany v Côte d'Ivoire,Group E,Toronto Stadium,2026-06-20,Germany,Côte d'Ivoire
"Saturday, 20 June 2026",Match 34,Ecuador v Curaçao,Group E,Kansas City Stadium,2026-06-20,Ecuador,Curaçao
"Saturday, 20 June 2026",Match 35,Netherlands v Albania/Poland/Sweden/Ukraine,Group F,Houston Stadium,2026-06-20,Netherlands,Albania/Poland/Sweden/Ukraine
"Saturday, 20 June 2026",Match 36,Tunisia v Japan,Group F,Estadio Monterrey,2026-06-20,Tunisia,Japan
"Sunday, 21 June 2026",Match 37,Uruguay v Cabo Verde,Group H,Miami Stadium,2026-06-21,Uruguay,Cabo Verde
"Sunday, 21 June 2026",Match 38,Spain v Saudi Arabia,Group H,Atlanta Stadium,2026-06-21,Spain,Saudi Arabia
"Sunday, 21 June 2026",Match 39,Belgium v IR Iran,Group G,Los Angeles Stadium,2026-06-21,Belgium,IR Iran
"Sunday, 21 June 2026",Match 40,New Zealand v Egypt,Group G,BC Place Vancouver,2026-06-21,New Zealand,Egypt
"Monday, 22 June 2026",Match 41,Norway v Senegal,Group I,New York New Jersey Stadium,2026-06-22,Norway,Senegal
"Monday, 22 June 2026",Match 42,France v Bolivia/Iraq/Suriname,Group I,Philadelphia Stadium,2026-06-22,France,Bolivia/Iraq/Suriname
"Monday, 22 June 2026",Match 43,Argentina v Austria,Group J,Dallas Stadium,2026-06-22,Argentina,Austria
"Monday, 22 June 2026",Match 44,Jordan v Algeria,Group J,San Francisco Bay Area Stadium,2026-06-22,Jordan,Algeria
"Tuesday, 23 June 2026",Match 45,England v Ghana,Group L,Boston Stadium,2026-06-23,England,Ghana
"Tuesday, 23 June 2026",Match 46,Panama v Croatia,Group L,Toronto Stadium,2026-06-23,Panama,Croatia
"Tuesday, 23 June 2026",Match 47,Portugal v Uzbekistan,Group K,Houston Stadium,2026-06-23,Portugal,Uzbekistan
"Tuesday, 23 June 2026",Match 48,Colombia v Congo DR/Jamaica/New Caledonia,Group K,Estadio Guadalajara,2026-06-23,Colombia,Congo DR/Jamaica/New Caledonia
"Wednesday, 24 June 2026",Match 49,Scotland v Brazil,Group C,Miami Stadium,2026-06-24,Scotland,Brazil
"Wednesday, 24 June 2026",Match 50,Morocco v Haiti,Group C,Atlanta Stadium,2026-06-24,Morocco,Haiti
"Wednesday, 24 June 2026",Match 51,Switzerland v Canada,Group B,BC Place Vancouver,2026-06-24,Switzerland,Canada
"Wednesday, 24 June 2026",Match 52,Bosnia and Herzegovina v Qatar,Group B,Seattle Stadium,2026-06-24,Bosnia and Herzegovina,Qatar
"Wednesday, 24 June 2026",Match 53,Czechia v Mexico,Group A,Mexico City Stadium,2026-06-24,Czechia,Mexico
"Wednesday, 24 June 2026",Match 54,South Africa v Korea Republic,Group A,Estadio Monterrey,2026-06-24,South Africa,Korea Republic
"Thursday, 25 June 2026",Match 55,Curaçao v Côte d'Ivoire,Group E,Philadelphia Stadium,2026-06-25,Curaçao,Côte d'Ivoire
"Thursday, 25 June 2026",Match 56,Ecuador v Germany,Group E,New York New Jersey Stadium,2026-06-25,Ecuador,Germany
"Thursday, 25 June 2026",Match 57,Japan v Albania/Poland/Sweden/Ukraine,Group F,Dallas Stadium,2026-06-25,Japan,Albania/Poland/Sweden/Ukraine
"Thursday, 25 June 2026",Match 58,Tunisia v Netherlands,Group F,Kansas City Stadium,2026-06-25,Tunisia,Netherlands
"Thursday, 25 June 2026",Match 59,Türkiye v USA,Group D,Los Angeles Stadium,2026-06-25,Türkiye,USA
"Thursday, 25 June 2026",Match 60,Paraguay v Australia,Group D,San Francisco Bay Area Stadium,2026-06-25,Paraguay,Australia
"Friday, 26 June 2026",Match 61,Norway v France,Group I,Boston Stadium,2026-06-26,Norway,France
"Friday, 26 June 2026",Match 62,Senegal v Bolivia/Iraq/Suriname,Group I,Toronto Stadium,2026-06-26,Senegal,Bolivia/Iraq/Suriname
"Friday, 26 June 2026",Match 63,Egypt v IR Iran,Group G,Seattle Stadium,2026-06-26,Egypt,IR Iran
"Friday, 26 June 2026",Match 64,New Zealand v Belgium,Group G,BC Place Vancouver,2026-06-26,New Zealand,Belgium
"Friday, 26 June 2026",Match 65,Cabo Verde v Saudi Arabia,Group H,Houston Stadium,2026-06-26,Cabo Verde,Saudi Arabia
"Friday, 26 June 2026",Match 66,Uruguay v Spain,Group H,Estadio Guadalajara,2026-06-26,Uruguay,Spain
"Saturday, 27 June 2026",Match 67,Panama v England,Group L,New York New Jersey Stadium,2026-06-27,Panama,England
"Saturday, 27 June 2026",Match 68,Croatia v Ghana,Group L,Philadelphia Stadium,2026-06-27,Croatia,Ghana
"Saturday, 27 June 2026",Match 69,Algeria v Austria,Group J,Kansas City Stadium,2026-06-27,Algeria,Austria
